id,nm_pol,murder,rape,gangrape,robbery,theft,assault,sexual_harassment,totarea,totalcrime,longitude,latitude,crime_per_area,area
1,Swargate,3,12,0,45,320,25,14,2048570.5,419,73.865,18.5009,204.7,2.04857
2,Bibwewadi,4,10,1,50,290,30,18,1892033.3,403,73.852,18.4786,213.1,1.89203
3,Deccan,2,8,0,35,310,22,10,2257830.1,387,73.841,18.5184,171.5,2.25783
4,Bund Garden,5,14,1,60,400,28,20,2157862.8,448,73.879,18.5389,207.4,2.15786
5,Kothrud,3,11,0,40,350,26,12,1985732.2,412,73.824,18.5067,207.5,1.98573
6,Shivajinagar,4,13,0,55,370,29,15,2124873.4,450,73.850,18.5290,211.8,2.12487
7,Koregaon Park,2,7,0,30,280,20,8,1904872.0,347,73.897,18.5397,182.2,1.90487
8,Hadapsar,5,16,1,65,420,32,22,2205730.3,482,73.935,18.5032,218.5,2.20573
9,Viman Nagar,3,9,0,40,315,24,14,1957864.5,399,73.913,18.5663,203.8,1.95786
10,Camp,4,12,1,50,380,27,18,2105632.1,460,73.890,18.5201,218.4,2.10563
11,Pimpri,2,6,0,35,300,22,10,1857630.0,375,73.812,18.6171,201.8,1.85763
12,Wakad,3,10,1,45,340,26,16,2004532.6,420,73.756,18.5993,209.5,2.00453
13,Baner,2,8,0,38,310,21,12,1967823.3,386,73.774,18.5597,196.2,1.96782
14,Aundh,4,11,1,55,365,28,17,2112345.0,441,73.800,18.5601,208.8,2.11234
15,Kharadi,5,15,1,65,430,34,20,2256473.8,495,73.950,18.5491,219.4,2.25647
16,Mundhwa,3,12,0,40,345,25,13,1987450.2,413,73.930,18.5392,207.8,1.98745
17,Karve Nagar,4,10,0,50,360,27,16,2105634.6,433,73.819,18.4998,205.7,2.10563
18,Parvati,2,9,0,35,320,22,10,1956783.9,398,73.837,18.4885,203.4,1.95678
19,Warje,3,10,1,42,330,24,12,2014567.5,422,73.808,18.5005,209.5,2.01456
20,Magarpatta,5,14,1,60,400,28,20,2150000.0,448,73.935,18.5189,207.4,2.15000
21,Katraj,3,12,0,45,320,25,14,2048570.5,419,73.855,18.4710,204.7,2.04857
22,Pashan,4,11,0,50,340,26,15,2104532.4,436,73.810,18.5298,207.2,2.10453
23,Balewadi,3,9,0,42,310,24,14,2057862.8,402,73.776,18.5591,195.3,2.05786
24,Sinhagad,4,13,1,55,370,29,17,2123782.1,452,73.835,18.4681,212.7,2.12378
25,Dhayari,3,10,0,40,315,23,12,1985324.6,405,73.814,18.4489,203.8,1.98532
26,Bavdhan,2,7,0,35,280,20,10,1957630.4,388,73.798,18.5187,198.3,1.95763
27,Lohegaon,5,16,1,65,420,32,22,2205730.3,482,73.924,18.6052,218.5,2.20573
28,Vadgaon,4,12,0,50,360,27,16,2105634.6,433,73.819,18.5008,205.7,2.10563
29,Kondhwa,3,11,1,45,350,26,15,2057862.8,412,73.881,18.4921,202.8,2.05786
30,NIBM,2,9,0,40,300,22,12,1967823.3,386,73.890,18.4825,196.2,1.96782
31,Dhanori,4,12,1,55,360,29,15,2110000.0,445,73.880,18.6120,210.9,2.11000
32,Bopodi,3,9,0,42,310,24,12,2048000.0,398,73.840,18.5600,194.3,2.04800
33,Salisbury Park,2,8,0,38,320,21,10,1954000.0,388,73.860,18.5100,198.7,1.95400
34,Erandwane,4,13,0,56,370,30,16,2123000.0,453,73.830,18.5300,213.4,2.12300
35,Hadapsar Gaon,5,14,1,64,430,34,22,2200000.0,490,73.930,18.5300,220.0,2.20000
36,Kasba Peth,3,12,0,50,350,27,15,2095000.0,437,73.870,18.5200,208.6,2.09500
37,Koregaon Bhima,2,8,0,37,310,20,11,1967000.0,386,73.910,18.5700,196.2,1.96700
38,Nana Peth,4,13,1,55,360,29,16,2100000.0,445,73.850,18.5100,210.9,2.10000
39,Gultekdi,5,14,1,60,400,28,20,2150000.0,448,73.930,18.5200,207.4,2.15000
40,Dhole Patil Road,3,10,0,45,320,25,14,2048000.0,419,73.860,18.5400,204.7,2.04800
